wallet: 705309254; money: 15
wallet: 2187522612; money: 74
wallet: 2456875780; money: 56
wallet: 3910134636; money: 88
wallet: 1726045083; money: 94
wallet: 454298659; money: 49
wallet: 3198116276; money: 0
wallet: 92205731; money: 89
wallet: 3379038553; money: 20
wallet: 1267152188; money: 67
wallet: 2977621967; money: 29
wallet: 1029362728; money: 48
wallet: 1867641295; money: 16
wallet: 1554125533; money: 67
wallet: 2132915479; money: 54
wallet: 1152695485; money: 3
wallet: 1307448531; money: 17
wallet: 2526639676; money: 75
wallet: 3684984201; money: 40
wallet: 4159092820; money: 60
wallet: 533270270; money: 18
wallet: 4232764488; money: 16
wallet: 1077202769; money: 28
